tweet_id,tweet_text,c_and_g,category,organization,clean_text
719360946188103680,@RailMinIndia   @gmscrailway   @sureshpprabhu  1st class again occupied by rly staff Hope sum action taken sum day Lpi-falaknuma  8.35mmts.,1,corruption,RailMinIndia,1st class again occupied by rly staff hope sum action taken sum day lpifalaknuma 835mmts
719363718803365889,@dtptraffic Just look at the traffic at bhairon marg .. As I can see it can be solved with little effort. Plz study https://t.co/MZIzQdhXAh,1,JAM,dtptraffic,just look at the traffic at bhairon marg as i can see it can be solved with little effort plz study
719373355837554690,@HMOIndia We needed strong action against @dilipkpandey @DelhiPolice ...  Socialmedia demand Strong Action .. https://t.co/LhQ8pdTL2o,0,,DelhiPolice,we needed strong action against socialmedia demand strong action
719373380575567873,@ArvindKejriwal @dtptraffic sir is it mandatory to paste CNG sticker on CNG car ????,0,,dtptraffic,sir is it mandatory to paste cng sticker on cng car
719376007535300608,@sureshpprabhu @RailMinIndia sir there are local train issues on western line mumbai! No trains at all! Kindly look into urgent basis please,0,,RailMinIndia,sir there are local train issues on western line mumbai no trains at all kindly look into urgent basis please
719378016778870784,Stand still #traffic 4m thimayya marg 2 #mahipalpur @dtptraffic what's wrong,1,JAM,dtptraffic,stand still 4m thimayya marg 2 whats wrong
719378986971738112,@dtptraffic DL8S BK 1558 triple riding @ Ramakrishna Ashram Panchkuiya Road on 11 April 2016 @ 9.40 am https://t.co/b6UGMxmUq2,1,TRIPLE,dtptraffic,dl8s bk 1558 triple riding ramakrishna ashram panchkuiya road on 11 april 2016 940 am
719382139238637568,Ratko Akshrdham k pas is Car me lge ballon khulne se piche a rhe biker k acident ho gya@BJPRajnathSingh @dtptraffic https://t.co/cbJo1dUtwG,0,,dtptraffic,ratko akshrdham k pas is car me lge ballon khulne se piche a rhe biker k acident ho gya
719384922146807808,@trafficwisdom @dtptraffic 5pm and it's regular to see vehicles  byks wrong laning at modi Mills flyover T fm Okhla3 https://t.co/OJNbhtXiXp,1,WRONG LANE,dtptraffic,5pm and its regular to see vehicles byks wrong laning at modi mills flyover t fm okhla3
719387581503262720,@dtptraffic massive jam on dwarka to NH 8 road.under Delhi cantt jurisdiction. https://t.co/8qgU7CQm0p,1,JAM,dtptraffic,massive jam on dwarka to nh 8 roadunder delhi cantt jurisdiction
719387651220987904,@dtptraffic traffic going from wrong side now,1,WRONG LANE,dtptraffic,traffic going from wrong side now
719387806666063874,There is no footpath available in front of gb pant hospital for pedestrians. Car parked on pavement @dtptraffic https://t.co/sg0hnKOkGw,1,NO PEDESTRIAN,dtptraffic,there is no footpath available in front of gb pant hospital for pedestrians car parked on pavement
719388357818589185,@dtptraffic what is the reason for Jam,1,JAM,dtptraffic,what is the reason for jam
719388707212566528,@dtptraffic since when it's there,0,,dtptraffic,since when its there
719389356981506048,Just got to know- father of juvenile killer out on bail. Hope that @DelhiPolice keeps building a solid case against the delinquent driver.,0,,DelhiPolice,just got to know father of juvenile killer out on bail hope that keeps building a solid case against the delinquent driver
719389724129931264,@drmsbc @RailMinIndia @sureshpprabhu trees at platfrm in hebbal help beat heat @37 in blore.no shltr or fan reqrd. https://t.co/X4N1JPUiRL,0,,RailMinIndia,trees at platfrm in hebbal help beat heat in bloreno shltr or fan reqrd
719389931303346176,@dtptraffic please see the pics of jam https://t.co/uEN9nnsuLo,1,JAM,dtptraffic,please see the pics of jam
719391401838977024,Water Supply From Today To Latur By @RailMinIndia really no word to express happiness just sayवाह @sureshpprabhu जी https://t.co/6melh1fTax,0,,RailMinIndia,water supply from today to latur by really no word to express happiness just sayवाह जी
719392885355847680,True! Wondering why @dtptraffic was so careless despite 3 offences https://t.co/EHckwAOMXh,1,NO ACTION,dtptraffic,true wondering why was so careless despite 3 offences
719392950816346112,Thanks @dtptraffic for quick response  hope for quick action too #delhitraffic #delhipolice #parkingproblem https://t.co/ZIpGeYDRG4,0,,dtptraffic,thanks for quick response hope for quick action too
719393184829153280,@DelhiPolice announces the arrest of 6 autolefters  recovered 36 vehicles and worked out around 50 cases.,0,,DelhiPolice,announces the arrest of 6 autolefters recovered 36 vehicles and worked out around 50 cases
719396244058038272,Gud morning delhi @DCPNEastDelhi  @DelhiPolice @CPDelhi,0,,DelhiPolice,gud morning delhi
719400236540497921,shan e punjab express is the first train of india with cctv camera https://t.co/BZIuXGGCUx @sureshpprabhu @RailMinIndia   BIG THANKS SIR??,0,,RailMinIndia,shan e punjab express is the first train of india with cctv camera big thanks sir
719406873665863680,Inmate flees from custody of @DelhiPolice in Bawana area. @timesofindia,0,,DelhiPolice,inmate flees from custody of in bawana area
719407133318455296,3 @DelhiPolice cops accused of extortion. Come two days after 3 were arrested on similar charges. #wakeupcall,0,,DelhiPolice,3 cops accused of extortion come two days after 3 were arrested on similar charges
719408200072560640,@dtptraffic Implement SC order but simultaneously regulate traffic also  as we face traffic jam on regular basis in different parts of Del.,0,,dtptraffic,implement sc order but simultaneously regulate traffic also as we face traffic jam on regular basis in different parts of del
719410419492737024,@dtptraffic sir  wanted to know if some1 has consumed alcohol n value comes as 130 only would the license be canceled for 3 months.,0,,dtptraffic,sir wanted to know if some1 has consumed alcohol n value comes as 130 only would the license be canceled for 3 months
719414040875806720,The criminal who fled @DelhiPolice custody was accused of murder/robbery and several heinous cases. Manhunt launched. @timesofindia,0,,DelhiPolice,the criminal who fled custody was accused of murderrobbery and several heinous cases manhunt launched
719415293521563648,An undertrial prisoner escapes from @DelhiPolice custody in outer Delhi's Bawana @htTweets @htdelhi  was being taken to Sonepat court,0,,DelhiPolice,an undertrial prisoner escapes from custody in outer delhis bawana was being taken to sonepat court
719415764160266240,The undertrial Deepak was arrested by @DelhiPolice after a brief encounter  some weeks ago was involved in a murder case @htTweets @htdelhi,0,,DelhiPolice,the undertrial deepak was arrested by after a brief encounter some weeks ago was involved in a murder case
719418304683773952,Dipak  a prisoner accused of murder escapes from @DelhiPolice van in Bavana. He was lodged in Tihar Jail.,0,,DelhiPolice,dipak a prisoner accused of murder escapes from van in bavana he was lodged in tihar jail
719424989665972225,@DelhiPolice @DCP_North_Delhi @dtptraffic @CPDelhi Very happy to see a fair action  but still don't digest the delay https://t.co/yJsQDIGslx,1,JAM,dtptraffic,very happy to see a fair action but still dont digest the delay
719429204798910465,Sir please prove water in our coach we dnt even able to use bathrooms train name garba express way to howrah @RailMinIndia,1,coach,RailMinIndia,sir please prove water in our coach we dnt even able to use bathrooms train name garba express way to howrah
719430548016398336,@dtptraffic Sir  Are heavy vehicles like roadways buses etc. allowed to ply on Barapullah Elevated Road?,0,,dtptraffic,sir are heavy vehicles like roadways buses etc allowed to ply on barapullah elevated road
719430683601440769,@dtptraffic DL 2SN 4248 no helmet  burari main road  5 april 2016  4:48 pm https://t.co/U5NTjOs25z,1,NO HELMET,dtptraffic,dl 2sn 4248 no helmet burari main road 5 april 2016 448 pm
719431672559566848,@DeeptiSachdeva_ @DelhiPolice SUSPEND THIS COP IMMEDIATELY  https://t.co/jm8tawIfJR,1,CORRUPTION,DelhiPolice,suspend this cop immediately
719432779700670464,@sureshpprabhu @RailMinIndia Well done! Trust builded more! This Govt. Works for needy not greedy. https://t.co/SD2PwxKSIu,0,,RailMinIndia,well done trust builded more this govt works for needy not greedy
719432834616659968,@GMNCR1 @RailMinIndia @drmncrald @sureshpprabhu Sir my father was retired in jan 2014 and till now his D.A. has not being given.,1,employment,RailMinIndia,sir my father was retired in jan 2014 and till now his da has not being given
719433181934452736,@GMSRailway @RailMinIndia Sir  a couple of coaches in train no 12076 are ordinary chair cars instead of 2nd Jan chair cars for last 1 month,1,coaches,RailMinIndia,sir a couple of coaches in train no 12076 are ordinary chair cars instead of 2nd jan chair cars for last 1 month
719434604130619392,A laudable effort by @IncomeTaxIndia in launching an e-appeal filing system for applicants. A win-win situation for everyone involved.,0,,IncomeTaxIndia,a laudable effort by in launching an eappeal filing system for applicants a winwin situation for everyone involved
719435828754132992,@RailMinIndia pnr 2541282765 traveling on 17 April with spouse &amp; 2 daughters but cnf seats are scattered it wud be of help if seat together,0,,RailMinIndia,pnr 2541282765 traveling on 17 april with spouse and 2 daughters but cnf seats are scattered it wud be of help if seat together
719442237516439552,#Delhi/#SOS Need 2 units blood and 1 unit platelet any group At AIIMS April 11 Call 9713022140 @Netra @richaanirudh @DelhiPolice,0,,DelhiPolice,need 2 units blood and 1 unit platelet any group at aiims april 11 call 9713022140
719442563938168832,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/1EoPJkBpy3,0,,RailMinIndia,scr congratulations to the awardee
719445234183118848,@RailMinIndia @DrmSolapur @rlyhydka sir for u siddeshwar exp so imp like for Glb 22133/34 ypr-sur exp is imp Gulbarga pasx  terminate at Gr,0,,RailMinIndia,sir for u siddeshwar exp so imp like for glb 2213334 yprsur exp is imp gulbarga pasx terminate at gr
719445975064977409,@DelhiPolice I have lost my mobile phone Samsung E -7 IMEI No. 358185066502011 &amp; 358186066502019 in karmpura terminal Delhi 110015. Please,0,,DelhiPolice,i have lost my mobile phone samsung e 7 imei no 358185066502011 and 358186066502019 in karmpura terminal delhi 110015 please
719447344106745856,So many rules are broken outside Sanskriti School! Yet @dtptraffic act as a mere suspectator or facilitator! Incorrect parking  turns  1/2,0,NO ACTION,dtptraffic,so many rules are broken outside sanskriti school yet act as a mere suspectator or facilitator incorrect parking turns 12
719451597110050816,@dtptraffic pls send help. Traffic jam St Marks School  Meera Bagh,1,JAM,dtptraffic,pls send help traffic jam st marks school meera bagh
719452137269268480,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/t7bg1BS8yz,0,,RailMinIndia,scr congratulations to the awardee
719452901609967616,HC Raj Singh of @DelhiPolice was arrested on Saturday for extortion attempt  his two colleagues are evading arrest @htTweets @htdelhi,0,,DelhiPolice,hc raj singh of was arrested on saturday for extortion attempt his two colleagues are evading arrest
719453916346380288,Arrested @DelhiPolice HC Raj Singh is posted in anti-auto theft squad of southwest district police  @htTweets @htdelhi @CPDelhi,0,,DelhiPolice,arrested hc raj singh is posted in antiauto theft squad of southwest district police
719454700102242304,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/ZNrlihJSb3,0,,RailMinIndia,scr congratulations to the awardee
719456500163280896,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/Y03sj4Nrnr,0,,RailMinIndia,scr congratulations to the awardee
719456840430387200,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/k0OW3Aeqta,0,,RailMinIndia,scr congratulations to the awardee
719457763017887744,SCR #RailwayWeek2016 Congratulations to the Awardee @RailMinIndia @sureshpprabhu https://t.co/xvdOoHFOZd,0,,RailMinIndia,scr congratulations to the awardee
719460680668045312,hope charges r framed for implanting driver in plc f accused @dtptraffic @DelhiPolice https://t.co/rSjm07n0Ex @legal_india,1,NO ACTION,dtptraffic,hope charges r framed for implanting driver in plc f accused
719461181048627200,@RailMinIndia pnr 2862797793 no charging point on s11 12 dirty bathroom  insects in berth  heavy jerk through out journey,1,dirty,RailMinIndia,pnr 2862797793 no charging point on s11 12 dirty bathroom insects in berth heavy jerk through out journey
719463257778442240,@DelhiPolice 2 suspect of inside rajendra nagar metro station  loot. Try 2 indentify them and call the delhi police https://t.co/J7DoO5JSsQ,1,METRO,DelhiPolice,2 suspect of inside rajendra nagar metro station loot try 2 indentify them and call the delhi police
719464044235624448,#Delhi is the #TrafficJam Capital...Thanks to @dtptraffic Inefficiency &amp; Incompetence @DelhiPolice,0,,dtptraffic,is the capitalthanks to inefficiency and incompetence
719467104659832832,Please rope in @RailMinIndia to supply water to drought affected areas in the country https://t.co/3XiLFymcUk,0,,RailMinIndia,please rope in to supply water to drought affected areas in the country
719467203121123328,PAN migration request of large no. of tax payers are pending with @IncomeTaxIndia result into unsettled demand rectification.@adhia03,1,PAN CARD,IncomeTaxIndia,pan migration request of large no of tax payers are pending with result into unsettled demand rectification
719471257821925376,People can now apply for a #restaurant  #bar  #pub or #arms #license #online  courtesy @DelhiPolice. Read: https://t.co/7cl9shnuZC @CPDelhi,0,,DelhiPolice,people can now apply for a or courtesy read
719472024272314368,@ArvindKejriwal crime increasing in #Delhi @DelhiPolice @aapdelhincr ? https://t.co/c20q2VPUpI,0,,DelhiPolice,crime increasing in
719493352366936064,@RailMinIndia Calling passengers nd asking suggestions fr improvement of cleaning..grt work @sureshpprabhu..thank u !,0,,RailMinIndia,calling passengers nd asking suggestions fr improvement of cleaninggrt work thank u
719500772241711105,@dtptraffic 10.30 am towards Gandhi Nagar 11.04.2016 driving without helmet Pillion https://t.co/iRH9wOxVUd,1,NO HELMET,dtptraffic,1030 am towards gandhi nagar 11042016 driving without helmet pillion
719501041004371968,@dtptraffic crossing stop line and Pillion without helmet 11.04.2016 at Gandhi Nagar red light 10.30am https://t.co/RB5WIHH6qr,1,NO HELMET,dtptraffic,crossing stop line and pillion without helmet 11042016 at gandhi nagar red light 1030am
719501628529852416,@dtptraffic Driving without helmet 11.04.2016 at 10.30 am Gandhi Nagar https://t.co/LA6iQfOrGF,1,NO HELMET,dtptraffic,driving without helmet 11042016 at 1030 am gandhi nagar
719501887746215941,@dtptraffic Driving without helmet 11.04.2016 at Gandhi Nagar 10.30 am https://t.co/RG8o89AZlv,1,NO HELMET,dtptraffic,driving without helmet 11042016 at gandhi nagar 1030 am
719502179808075776,@sureshpprabhu @RailMinIndia https://t.co/1tzTYKVXxo police collecting money from people.plz verify authority of video and identity of him.,1,corruption,RailMinIndia,police collecting money from peopleplz verify authority of video and identity of him
719502742574735361,Yusuf Sarai paralysed with traffic jam. Need better traffic police managing the situation. @dtptraffic #Delhi @ArvindKejriwal @msisodia,1,JAM,dtptraffic,yusuf sarai paralysed with traffic jam need better traffic police managing the situation
719503437667397632,Now this time it was the turn of Dibrugarh Rajdhani Exp  but no change @RailMinIndia @PMOIndia,0,,RailMinIndia,now this time it was the turn of dibrugarh rajdhani exp but no change
719508523927736320,@RailMinIndia my botj srtz parents having pain in leg .I fear how could they manage in long journey.,0,,RailMinIndia,my botj srtz parents having pain in leg i fear how could they manage in long journey
719514018461925380,@DelhiPolice when R u arresting wife 4 abetment of suicide? IT executive hangs self in Patel Nagar   https://t.co/nzOwgwsDTq @timesofindia,0,,DelhiPolice,when r u arresting wife 4 abetment of suicide it executive hangs self in patel nagar
719520113792131072,Extremely poor infrastructure at Kurla railway station. I hope @RailMinIndia is taking steps to address these issues faced by commuters,1,platform,RailMinIndia,extremely poor infrastructure at kurla railway station i hope is taking steps to address these issues faced by commuters
719521073071464448,@RailMinIndia Bhilwara Railway Station Glittering with Famous  Phad Painting. https://t.co/gWz69BSzpY,0,,RailMinIndia,bhilwara railway station glittering with famous phad painting
719522572514164736,@IncomeTaxIndia I called CPC&amp;my assessing officer abt my Refund but nobody ready is ready to tell me exact timeframe/date of it. help me plz,1,REFUND,IncomeTaxIndia,i called cpcandmy assessing officer abt my refund but nobody ready is ready to tell me exact timeframedate of it help me plz
719527730623029250,Sir pls check this issue.  @sureshpprabhu  @RailMinIndia https://t.co/iIzIqqrIKH,0,,RailMinIndia,sir pls check this issue
719529332364992512,@RailMinIndia @sureshpprabhu was traveling by CST-Thane local  observed power failure at kanjur station.station is almost blackout.,1,platform,RailMinIndia,was traveling by cstthane local observed power failure at kanjur stationstation is almost blackout
719529899585900544,@RailMinIndia @sureshpprabhu my flight on time from kolkata..can't reach on time if 12304 poorva exp wil be late on 17 april ;(,0,,RailMinIndia,my flight on time from kolkatacant reach on time if 12304 poorva exp wil be late on 17 april
719530095984029699,Cleanliness Drive at Ahmedabad station by SANT NIRAKARI CHARITY FOUNDATION @RailMinIndia @WesternRly @sureshpprabhu https://t.co/di9R0lTQXt,0,,RailMinIndia,cleanliness drive at ahmedabad station by sant nirakari charity foundation
719531080328548359,My bro got his licence confiscated for speeding! Thank u @dtptraffic for not taking a bribe &amp; teaching him a real lesson. Much appreciated!,0,,dtptraffic,my bro got his licence confiscated for speeding thank u for not taking a bribe and teaching him a real lesson much appreciated
719537972656390145,@dtptraffic Reminder No 7. Pl improve traffic condition on golwalkar marg between police line and poonthkalan due to encroachment .,1,JAM,dtptraffic,reminder no 7 pl improve traffic condition on golwalkar marg between police line and poonthkalan due to encroachment
719544460217098241,@RailMinIndia - Vendor named Satkar Caterers at Itarsi Railway Station is charging Rs.40 for Sprite pet bottle having MRP Marked as Rs. 34.,1,fraud,RailMinIndia,vendor named satkar caterers at itarsi railway station is charging rs40 for sprite pet bottle having mrp marked as rs 34
719546939218395136,@dtptraffic heavy traffic on NH 24 indraprashta to akshardham due to vehicles parked on the rode side in evening. Please dont let them park.,1,JAM,dtptraffic,heavy traffic on nh 24 indraprashta to akshardham due to vehicles parked on the rode side in evening please dont let them park
719546984030310400,Hawker nuisance #dadarst on &amp; outside the main FOB @RailMinIndia https://t.co/hXzyh6Ck9m,1,platform,RailMinIndia,hawker nuisance on and outside the main fob
719550776385912833,@DelhiPolice no action has been taken on my email regarding fraudulent payment and non delivery by Interstate Cargo movers  janakpuri,1,NO ACTION,DelhiPolice,no action has been taken on my email regarding fraudulent payment and non delivery by interstate cargo movers janakpuri
719551072826732544,@DelhiPolice I already submitted the complaint yesterday from my email profile version2@gmail.com,0,,DelhiPolice,i already submitted the complaint yesterday from my email profile version2com
719551740283002880,Delhi metro is also #NotSafe  #CriminalMinds can exist anywhere! @DelhiPolice  https://t.co/0MXLhIlMpR,1,METRO,DelhiPolice,delhi metro is also can exist anywhere
719553012172210176,Indigo Cab on fire opposite Eros Hotel Nehru Place. Road closed. @dtptraffic https://t.co/LbGbf3s6Ps,1,JAM,dtptraffic,indigo cab on fire opposite eros hotel nehru place road closed
719556091495862272,Very disappointed with condition of common areas and toilet; and food onboard Bhopal-Del Shatabdi today.@RailMinIndia @sureshpprabhu,1,dirty,RailMinIndia,very disappointed with condition of common areas and toilet and food onboard bhopaldel shatabdi today
719561208437874688,@RailMinIndia #हिन्दू_संत_निशाने_पर ! Series of fake cases on innocent Hindu Saints! Hindus Wake Up! https://t.co/jn5Iski4gY,0,,RailMinIndia,िन्दूसंतनिशानेपर series of fake cases on innocent hindu saints hindus wake up
719564025529569281,@RailMinIndia Sir  please try to start train from AGARTALA to New Delhi as soon as possible .Its a request sir ......,1,suggestion,RailMinIndia,sir please try to start train from agartala to new delhi as soon as possible its a request sir
719577762617425920,@dtptraffic Sir  Can you please guide on Speed Limit all across Delhi ? 60 KM or dependent on Roads   40  50  60 accordingly,0,,dtptraffic,sir can you please guide on speed limit all across delhi 60 km or dependent on roads 40 50 60 accordingly
719583365548998656,@dtptraffic DL 8S BG 3730  tripling and 2 pillions without helmet  burari main road  5 april 2016  5:03 pm https://t.co/SMKKvx8hqT,1,NO HELMET,dtptraffic,dl 8s bg 3730 tripling and 2 pillions without helmet burari main road 5 april 2016 503 pm
719584579074412544,@dtptraffic DL 7S AM 8664 no helmet  burari main road  5 april 2016  rider and pillion without helmet  5:01 pm https://t.co/Fkr3jkZ3p1,1,NO HELMET,dtptraffic,dl 7s am 8664 no helmet burari main road 5 april 2016 rider and pillion without helmet 501 pm
719609770395586560,@dir_ed @IncomeTaxIndia @HMOIndia @PMOIndia  Frauds of sarda-narda chit-fund scam must get caught soon! All officials linked must be probed!,1,SCAM,IncomeTaxIndia,frauds of sardanarda chitfund scam must get caught soon all officials linked must be probed
719610498342199297,@IncomeTaxIndia @dir_ed  Assets belongings &amp; properties of all government officials employees &amp; their relatives must be checked &amp; inquired!,0,,IncomeTaxIndia,assets belongings and properties of all government officials employees and their relatives must be checked and inquired
719683753459716097,@RailMinIndia @sureshpprabhu PNR 4118831050. At Jhansi local vendors openly selling cigarette and Gutkha in sleeper class at early morning.,1,coaches,RailMinIndia,pnr 4118831050 at jhansi local vendors openly selling cigarette and gutkha in sleeper class at early morning
719690777278955520,Wow. #Star performance by @RailMinIndia under the able leadership of @sureshpprabhu #Airlines knocking the doors... https://t.co/mcuTdJQ7qb,0,,RailMinIndia,wow performance by under the able leadership of knocking the doors
719692765760610304,@RailMinIndia @sureshpprabhu @WesternRly PNR-8146191241 it's a medical emergency. Can we get a doctor. Senior citizen,0,,RailMinIndia,pnr8146191241 its a medical emergency can we get a doctor senior citizen
719695244715950080,Commemorating India's First Train Journey. @RailMinIndia @sureshpprabhu https://t.co/QTQ0oYN05c,0,,RailMinIndia,commemorating indias first train journey
719708420975120385,Zilch effort made my @DelhiPolice 2 curb #HumanTrafficking. Providing shelter/food n educatn can bring change @ArvindKejriwal @msisodia,0,,DelhiPolice,zilch effort made my 2 curb providing shelterfood n educatn can bring change
719709760296218629,@dtptraffic :Seen almost 10 of them plying with kids. How many challans in last 6 months share data plz. https://t.co/pDqwBHOPF3,0,NO ACTION,dtptraffic,seen almost 10 of them plying with kids how many challans in last 6 months share data plz
719710364040974336,@RailMinIndia @sureshpprabhu -delhi cantt st cleaning staff asking 4 money 4 allowing 2 sit in waiting hall. No st master present 2 complain,1,corruption,RailMinIndia,delhi cantt st cleaning staff asking 4 money 4 allowing 2 sit in waiting hall no st master present 2 complain
719710884080189440,@RailMinIndia  situation at the entry on C5 12040 https://t.co/CX7n1AFVGn,0,,RailMinIndia,situation at the entry on c5 12040
719713312825548801,@RidlrDEL @dtptraffic huge jam at dhaula kuan. Reason unknown. Somebdy get involved please,1,JAM,dtptraffic,huge jam at dhaula kuan reason unknown somebdy get involved please
719721489373769728,I think this is a good idea! Anyone in India especially Traffic Police ready to follow it here? @dtptraffic  https://t.co/3jS5wINtwH,0,,dtptraffic,i think this is a good idea anyone in india especially traffic police ready to follow it here
719723341821513729,@DelhiPolice Many Non-Hindu leaders like Maulana Abdul Karim Kadri support truth because #EvenTheyKnowBapujiIsFramed https://t.co/xqeAckVVzy,0,,DelhiPolice,many nonhindu leaders like maulana abdul karim kadri support truth because
719723522373738496,Gr8 Relief @RailMinIndia @Indianrlyinfo  https://t.co/cfA2L1F34V,0,,RailMinIndia,gr8 relief
719732957016170496,@RailMinIndia @drmmumbaicr sir please do something 19215 in one FC compartment 16 other people are seating and forced me and my family to,1,violence,RailMinIndia,sir please do something 19215 in one fc compartment 16 other people are seating and forced me and my family to
719733051585085440,@dtptraffic DL 6S AU 1229 without helmet @ Deshbandhu Gupta Road Karol Bagh on 12April 2016 @ 9.10 am https://t.co/032ms1XDcB,1,NO HELMET,dtptraffic,dl 6s au 1229 without helmet deshbandhu gupta road karol bagh on 12april 2016 910 am
719733972939382788,@dtptraffic  Offence - Without Helmet Place - Uttam Nagar East Metro Station Date - 12/04/16 Time - 8.50 am https://t.co/KB5UyWIAvC,1,NO HELMET,dtptraffic,offence without helmet place uttam nagar east metro station date 120416 time 850 am
719736996822970368,@dtptraffic Road choked from Shahdara flyover to Seelampur metro station,1,JAM,dtptraffic,road choked from shahdara flyover to seelampur metro station
719737173231017984,@DelhiPolice Please take suo moto action against this handle for abusing PM. He should be behind bars. Track his IP. https://t.co/ZMc2v58kqD,1,E-CRIME,DelhiPolice,please take suo moto action against this handle for abusing pm he should be behind bars track his ip
719738219399491584,@dtptraffic sir  Ryan international school  Sector-25  Rohini mey  teenager students drive scotoor&amp;motorcycle action https://t.co/CY5zsx2DuR,1,MINOR,dtptraffic,sir ryan international school sector25 rohini mey teenager students drive scotoorandmotorcycle action
719738686410063872,@dtptraffic  Offence - Tinted Glass Place - Opposite Military College  Delhi Cantt  Date - 12/04/16 Time - 9.37 am https://t.co/ZuFSQZ6Bes,1,TINTED GLASS,dtptraffic,offence tinted glass place opposite military college delhi cantt date 120416 time 937 am
719740402496983040,Sir  +919060098569 This number is fake  &amp; making fraudulent call for ATM Card number and pin codes  please make awareness @DelhiPolice,1,FRAUD,DelhiPolice,sir 919060098569 this number is fake and making fraudulent call for atm card number and pin codes please make awareness
719740957726416896,Commendable job by @RailMinIndia @sureshpprabhu &amp; @narendramodi by providing water in Latur through water train.They care for people indeed?,0,,RailMinIndia,commendable job by and by providing water in latur through water trainthey care for people indeed
719741271498178560,@dtptraffic  requesting yourself to  depute  personnel at Tahirpur-boarder Red Light  Seemapuri Distt. NorthEasth.,1,JAM,dtptraffic,requesting yourself to depute personnel at tahirpurboarder red light seemapuri distt northeasth
719741868880175104,@dtptraffic Please provide action details. Sir  @mukteshchander l hav been following up on dis fr days but no action https://t.co/MJQU3mvXd4,1,NO ACTION,dtptraffic,please provide action details sir l hav been following up on dis fr days but no action
719741894755008513,@dtptraffic Daily commuter face  Jam problem on a/o  nonobservances of the red light and 15-20 minutes are wasted daily becz of this jam,1,JAM,dtptraffic,daily commuter face jam problem on ao nonobservances of the red light and 1520 minutes are wasted daily becz of this jam
719744372774817792,@dtptraffic Massive JAM occurs daily from the last one year due to nuisance at SEELAMPUR REDLIGHT. No action taken by traffic police.,1,JAM,dtptraffic,massive jam occurs daily from the last one year due to nuisance at seelampur redlight no action taken by traffic police
719745208716374016,@dtptraffic  Heavy traffic  jam at berar square,1,JAM,dtptraffic,heavy traffic jam at berar square
719745579236990976,@DelhiPolice the windows  front and rear has dark film... https://t.co/JWpGNBWzBY,1,TRAFFIC,DelhiPolice,the windows front and rear has dark film
